All,모두
"This shipping method is not available. To use this shipping method, please contact us.","이 배송 방법은 사용할 수 없습니다. 해당 배송방법으로 받기를 원하시면 문의주시기 바랍니다."
"The address total model should be extended from
                    \Magento\Quote\Model\Quote\Address\Total\AbstractTotal.","The address total model should be extended from \Magento\Quote\Model\Quote\Address\Total\AbstractTotal."
"Shipping & Handling (%1)","배송 및 처리 (%1)"
"We found an invalid item option format.","잘못된 아이템 옵션 포맷을 찾았습니다."
"Item qty declaration error","아이템 수량 오류"
"Some of the products below do not have all the required options.","아래 제품 중의 일부에서 필수 옵션을 선택하지 않았습니다."
"Could not save quote","견적을 저장할 수 없습니다."
"Please check the billing address information. %1","결제 정보의 주소란을 확인하세요. %1"
"Please select a valid payment method.","결제방법을 선택하세요"
"Cart Price Rule","장바구니 가격 규칙"
"Select Rule...","규칙을 선택..."
subtotal,소계
weight,중량
"row weight","행 무게"
"Coupon Code","쿠폰 코드"
"<b>Important</b>: If you select ""Use Auto Generation"", this rule will no longer be used in any automated email reminder rules for abandoned carts","<b>
 Important</b>
 : If you select ""Use Auto Generation"", this rule will no longer be used in any automated email reminder rules for abandoned carts"
"To take advantage of the promotion you need to sign in at <a href=""%account_url"">%store_name</a> and apply the coupon ""%coupon_code"" in the shopping cart.","프로모션 혜택을 받으시려면 <a href=""%account_url"">
 %store_name</a>
 에서 회원가입하신 후 장바구니에서 쿠폰코드 ""%coupon_code""를 적용하세요."
"To take advantage of the promotion you need to sign in at <a href=""%account_url"">%store_name</a>","프로모션 혜택을 받으시려면 <a href=""%account_url"">
 %store_name</a>
 에서 회원가입하신 후 장바구니에서 쿠폰코드 ""%coupon_code""를 적용하세요."
"New Accounts","새 계정"
"Show Reviews","리뷰 보기"
"Customers Reviews","고객 리뷰"
"Reviews for %1","%1에 대한 리뷰"
"Products Reviews","상품 리뷰"
"Price Rule","가격 규칙"
"Total Invoiced vs. Paid Report","총 청구금액 대비 결제 보고서"
"Invoiced Orders","청구된 주문"
"Total Invoiced","청구서 총합"
"Paid Invoices","지불된 청구서"
"Unpaid Invoices","미납된 청구서"
"Tax Amount",세액
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>.","Last updated: %1. To refresh last day's <a href=""%2"">
 statistics</a>
 , click <a href=""%3"">
 here</a>
 ."
Review,리뷰
Reviews,리뷰
"Product Reviews","상품 리뷰"
"Invoice Report","청구 보고서"
"Total Invoiced VS Paid Report","총 청구금액 대비 결제 보고서"
"Show By",정렬순서
"Order Updated","주문이 업데이트되었습니다."
"Last Invoice Created Date","마지막 청구서 작성 날짜"
"First Invoice Created Date","첫 청구서 작성 날짜"
"Invalid item option format.","잘못된 아이템 옵션 포맷입니다."
"Cannot specify product.","상품을 지정할 수 없습니다."
"Save Review","리뷰 저장"
"New Review","상품평 추가"
Nickname,닉네임
"Summary of Review","리뷰 제목"
"Save and Next","저장 및 다음"
"Delete Review","리뷰 삭제"
"Edit Review '%1'","후기 편집 '%1'"
"Pending Reviews of Customer `%1`","보류 중인 고객 리뷰 '%1'"
"Pending Reviews","보류 중인 리뷰"
"All Reviews of Customer `%1`","'%1' 님의 모든 리뷰"
"All Reviews of Product `%1`","상품 '%1' 에 대한 모든 리뷰"
"All Reviews","모든 리뷰"
"Pending product review(s)","보류 중인 제품 리뷰"
"Product: <a href=""%1"" target=""_blank"">%2</a> <br/>","Product: <a href=""%1"" target=""_blank"">
 %2</a>
 <br/>
 "
"Summary of review: %1 <br/>","리뷰 제목: %1 <br/>"
"Review: %1 <br/>","리뷰: %1 <br/>"
"Store: %1 <br/>","스토어: %1 <br/>"
"Click <a href=""%1"">here</a> to see the review.","<a href=""%1"">
 여기를 클릭</a>
 하여 리뷰를 보세요."
"Product: ""%1"" reviewed by: %2","제품: ""%1""에 대한 리뷰 작성자: %2"
"Reviews %1","리뷰 %1"
"The review has been deleted.","이 리뷰는 삭제되었습니다"
"Something went wrong  deleting this review.","리뷰를 삭제하는 동안 오류가 발생했습니다."
"Customer Reviews","고객 리뷰"
"Edit Review","리뷰 수정"
"Please select review(s).","리뷰를 선택하세요."
"You saved the review.","리뷰를 저장하였습니다."
"Something went wrong while saving this review.","리뷰를 저장하는 동안 오류가 발생했습니다."
"The review was removed by another user or does not exist.","이 리뷰는 다른 사용자에 의해 삭제되었거나 존재 하지 않습니다."
"My Product Reviews","상품 리뷰"
"You submitted your review for moderation.","고객님의 리뷰가 접수되었습니다. 관리자의 승인을 기다리고 있습니다."
"We can't post your review right now.","일시적으로 리뷰를 게시할 수 없습니다."
"Please enter a review summary.","간략한 제목을 입력하여 주십시오."
"Please enter a nickname.","닉네임을 입력하세요."
"Please enter a review.","리뷰를 입력하십시오."
"You have submitted no reviews.","작성하신 상품 리뷰가 없습니다."
"My Recent Reviews","최근 상품 리뷰"
"View All","모두 보기"
"Your Review","나의 리뷰"
"Back to My Reviews","상품 리뷰로 돌아가기"
"Be the first to review this product","제일 먼저 이 제품을 평가해보세요!"
"Write Your Own Review","직접 리뷰를 작성해보세요"
"You're reviewing:","이 상품에 관한 리뷰를 작성하고 있습니다:"
"Submit Review","리뷰 제출"
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","로그인 후에 후기를 작성할 수 있습니다. <a href=""%1"">
 로그인</a>
 하시거나 <a href=""%2"">
 회원가입</a>
 하세요."
"Add Your Review","새로운 리뷰 추가"
"%1 Review(s)","%1개의 리뷰"
"Review by",리뷰작성자
"Product Review (submitted on %1):","제품 리뷰 (접수일 %1):"
"Back to Product Reviews","제품 리뷰로 돌아가기"
"Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","로그인 후에 후기를 작성할 수 있습니다. <a href=""%1"">로그인</a>하시거나 <a href=""%2"">회원가입</a>하세요."
"Reward Points Notifications","보상 포인트 알림"
"Subscribe for Points Expiration Notifications","포인트 만료에 대한 알림 받기"
"You can't unsubscribed right now.","지금은 구독 취소를 할 수 없습니다."
"Refunded from order #%1","주문 %1이(가) 환불됨"
"Signed up for newsletter with email %1","이메일주소 %1로 뉴스레터 받아보기"
"<a href=""%unsubscription_url"">Unsubscribe</a> from these notifications.","<a href=""%unsubscription_url"">
 구독취소</a>
 "
"Review Submission","제출된 리뷰"
"Create an account on our site now and earn %1.","회원가입하고 %1적립하세요."
"Subscribe to our newsletter now and earn %1.","뉴스레터를 구독신청하고 %1를 적립받으세요."
"Send this invitation now and earn %s when your invitee signs up on our site.","친구에게 초대장을 보내고 친구가 회원가입을 완료하면 %s를 적립받습니다."
"Submit a review now and earn %1 after the review is approved.","리뷰를 작성하시고 %1를 적립하세요."
"You can reward up to %1 new reviews(s).","새로운 리뷰를 작성하시면 %1까지 적립받을 수 있습니다."
Return,돌아가기
"Please Select Order","주문를 선택 하십시오"
"Submit Comment","코멘트 전송"
"Remaining Qty","남은 수량"
"Requested Qty","요청된 수량"
"Order # ","주문번호 "
"All Items","모든 항목"
"Account &amp; Shipping Information","계정 및 배송 정보"
"Customer Name","고객 이름"
"Visible on Storefront","스토어프론트에 표시"
"Qty Ordered","주문 수량"
"Order &amp; Account Information","주문 및 계정 정보"
"Total Weight","총 중량"
"Request Qty","요청된 수량"
"%store_name:  New customer comment","%store_name: 새로운 고객 코멘트"
"Customer %name has left a new comment:","%name님이 새로운 코멘트를 남겼습니다:"
"You can check the status of your return by <a href=""%account_url"">logging into your account</a> or <a href=""%form_url"">using your order number</a>.","You can check the status of your return by <a href=""%account_url"">
 logging into your account</a>
 or <a href=""%form_url"">
 using your order number</a>
 ."
"If you have any questions, please feel free to contact us at <a href=""mailto:%support_email"">%support_email</a> or by phone at %store_phone","If you have any questions, please feel free to contact us at <a href=""mailto:%support_email"">
 %support_email</a>
 or by phone at %store_phone"
"You can check the status of your return <a href=""%form_url"">using your order number</a>.","You can check the status of your return <a href=""%form_url"">
 using your order number</a>
 ."
"If you have any questions about your return, please contact us at <a href=""mailto:%support_email"">%support_email</a>.","If you have any questions about your return, please contact us at <a href=""mailto:%support_email"">
 %support_email</a>
 ."
"Enable RSS","RSS 활성화"
by,기준
Invoices,청구서
"Save Order Address","주문 주소 저장"
"Edit Order %1 %2 Address","주문 %1의 %2 주소 편집"
"Order Address Information","주문 주소 정보"
"Submit Order","주문 제출"
"Are you sure you want to cancel this order?","이 주문을 정말로 취소하시겠습니까?"
"Order Comment","주문 코멘트"
"Edit Order #%1","주문 수정 %1"
"Items Ordered","주문 항목"
"Buy %1 for price %2","%1개를 구입하면 %2"
"Item ordered qty","주문 수량"
"Order Totals","주문 합계"
"Shipping Incl. Tax (%1)","배송료 (부가세 %1 포함)"
"Shipping Excl. Tax (%1)","배송료 (부가세 %1 제외)"
"Update Qty's","수량 편집"
"Shipping Amount","배송 금액"
"Order Grand Total","주문 총합계"
"Send Email","이메일 전송"
"Submit Invoice","청구서 전송"
"The invoice email was sent.","청구 메일이 발송되었습니다."
"Invoice #%1 | %2 | %4 (%3)","청구서 번호 %1 | %2 | %4 (%3)"
"Visible On Storefront","스토어프론트에 표시"
"Order Status Information","주문 상태 정보"
"Order # %1 %2 | %3","주문번호 %1 %2 | %3"
"This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed.","This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed, the order will be canceled and a new order will be placed."
"Comments History","코멘트 이력"
"Order Information","주문 정보"
Shipments,배송
"Order View","주문 보기"
"Discount (%1)","할인 (%1)"
"Back to My Orders","주문내역으로 돌아가기"
"View Another Order","다른 주문 보기"
"Subscribe to Order Status","주문 상태 알림받기"
"Print Order # %1","주문 %1 인쇄"
"Grand Total to be Charged","실제 청구될 금액"
"You updated the order address.","주소를 수정하였습니다."
"We can't update the order address right now.","지금은 주소를 수정할 수 없습니다."
"You canceled the order.","주문을 취소했습니다."
"We can't update the item's quantity right now.","지금은 항목의 수량을 수정할 수 없습니다."
"You canceled the invoice.","청구를 취소했습니다."
"Invoice canceling error","청구 취소 에러"
"New Invoice","신규 청구서"
"There are no printable documents related to selected orders.","선택한 주문과 관련해 인쇄할 문서가 없습니다."
"Shipping Address: ","배송지 주소: "
"Order Date: ","주문 날짜: "
"Total Shipping Charges","총 배송 요금"
"New Orders",새주문
"Order #%1 created at %2","주문 %1이 %2에 접수되었습니다."
"Details for %1 #%2","%1 #%2에 대 한 세부 정보"
"Comment: %1<br/>","코멘트: %1<br/>"
"Current Status: %1<br/>","현재 상태: %1 <br/>"
"Total: %1<br/>","총: %1<br/>"
"Order # %1 Notification(s)","주문 %1 알림"
"Pending Payment","보류 중인 지불"
"Email has not been sent","이메일이 전송되지 않았습니다."
"Order Comments","주문 코멘트"
"Payment &amp; Shipping Method","결제 및 배송 방법"
"The order was placed using %1.","결제 통화는 %1 입니다."
"Customer Name: %1","고객 이름: %1"
"Purchased From: %1","구입: %1"
"Shipping &amp; Handling",배송료
"Order & Account Information","주문 및 계정 정보"
"Order Date",주문일
"Order Date (%1)","주문 날짜 (%1)"
"Edit Customer","고객 수정"
"Notes for this Order","이 주문에 대한 노트"
"Billing Last Name","구매자 성(이름)"
"You have placed no orders.","아직 주문을 하지 않았습니다."
"Print Order","주문 인쇄"
"Print All Invoices","모든 청구서 인쇄"
"<span class=""label"">Order Date:</span> %1","<span class=""label"">
 Order Date:</span>
 %1"
"Recent Orders","최근 주문"
"Recently Ordered","최근 주문한 상품"
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","<a href=""%account_url"">
 계정에 로그인</a>
 하여 주문 상태를 확인할 수 있습니다."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","If you have questions about your order, you can email us at <a href=""mailto:%store_email"">
 %store_email</a>
 "
"Our hours are <span class=""no-link"">%store_hours</span>.","Our hours are <span class=""no-link"">
 %store_hours</span>
 ."
"Your Credit Memo #%creditmemo_id for Order #%order_id","#%order_id 주문에 대한 환불 정보 #%creditmemo_id"
"Billing Info","결제 정보"
"Shipping Info","배송 정보"
"Update to your %store_name credit memo","%store_name 환불 정보를 업데이트 하세요"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","고객님의 주문번호 %increment_id의 상태가 <strong>%order_status</strong> 로 변경되었습니다."
"Invoice for your %store_name order","%store_name 주문 결제 정보"
"Your Invoice #%invoice_id for Order #%order_id","주문번호 %order_id 에 대한 청구서 번호 %invoice_id"
"Update to your %store_name invoice","%store_name 결제 정보를 업데이트 하세요"
"Your %store_name order confirmation","%store_name 주문 확인"
"Once your package ships we will send you a tracking number.","배송이 시작되면 트래킹 번호를 보내드립니다."
"Your Order <span class=""no-link"">#%increment_id</span>","주문번호 <span class=""no-link"">%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Placed on <span class=""no-link"">
 %created_at</span>
 "
"Update to your %store_name order","%store_name 주문 정보를 업데이트 하세요"
"Your %store_name order has shipped","%store_name 에서 주문하신 상품의 배송이 시작되었습니다."
"Your shipping confirmation is below. Thank you again for your business.","배송에 관한 정보는 아래를 참조하십시오. 주문해주셔서 다시 한번 감사드립니다."
"Your Shipment #%shipment_id for Order #%order_id","주문번호 %order_id의 배송이 시작되었습니다. 배송번호는 %shipment_id 입니다."
"Update to your %store_name shipment","%store_name 배송정보를 업데이트 하세요"
"Gift Options for ","선물 메시지 "
"Allow Reorder","재주문 허용"
"Logo for PDF Print-outs (200x50)","PDF 인쇄 로고(200x50)"
"Subtotal after discount","할인 후 소계"
"Include Tax to Amount","금액에 세액 포함"
"Error to Show in Shopping Cart","장바구니 표시 오류"
"Pending Payment Order Lifetime (minutes)","결제 보류 주문의 수명(분)"
"Order Comment Email Sender","주문 코멘트 이메일 발송자"
"Order Comment Email Template","주문 코멘트 이메일 템플릿"
"Order Comment Email Template for Guest","비회원을 위한 주문 코멘트 이메일 템플릿"
"Invoice Email Template for Guest","비회원 청구 메일 템플릿"
"Invoice Comment Email Sender","청구서 코멘트 이메일 발송자"
"Invoice Comment Email Template","청구서 코멘트 이메일 템플릿"
"Invoice Comment Email Template for Guest","비회원을 위한 청구서 코멘트 이메일 템플릿"
"PDF Print-outs","PDF 인쇄"
"Display Order ID in Header","헤더에 주문 번호를 표시"
"Customer Order Status Notification","고객 주문 상태 알림"
"Invoice Date","청구 날짜"
"Item Status","항목 상태"
"Tax Percent",세율
"Print Invoices","청구서 인쇄"
"Purchase Date","구매 일자"
"Shipping and Handling",배송료
"PDF Invoices","PDF 청구서"
"Product is not salable.","판매 가능 상품이 아닙니다."
"Are you sure you want to delete this?","이 항목을 삭제하시겠습니까?"
"Coupon Qty","쿠폰 수량"
"%1 - Discounts and Coupons","%1 -할인 및 쿠폰"
Coupons/Discounts,"쿠폰 / 할인"
"New Cart Price Rule","신규 장바구니 가격 규칙"
"Rule is not defined","규칙이 정의되어 있지 않습니다."
"The wrong rule is specified.","잘못된 규칙을 지정했습니다."
"We cannot create the requested Coupon Qty. Please check your settings and try again.","요청된 쿠폰의 수량을 만들수 없습니다. 설정을 확인하고 다시 시도하십시오."
"Shipping Postcode","배송지 우편번호"
"Shipping State/Province","배송 시/도"
"Shipping Country","배송 국가"
"Fixed amount discount","고정 비용 할인"
"Fixed amount discount for whole cart","전체 장바구니에 대한 고정 금액 할인"
"Maximum Qty Discount is Applied To","최대 수량 할인 적용"
"
                        If you select and save the rule you will be able to generate multiple coupon codes.
                    "," If you select and save the rule you will be able to generate multiple coupon codes. "
"
                        Usage limit enforced for logged in customers only.
                    "," Usage limit enforced for logged in customers only. "
"Remove Cart Price Rule from Campaign","캠페인에서 장바구니 가격 규칙 제거"
"%store_name  - Scheduled Import Failed","%store_name - Scheduled Import Failed"
"    All Store Views"," All Store Views"
"Search entire store here...",검색
"All other open sessions for this account were terminated.","해당 계정에 의해 열린 모든 세션이 종료되었습니다."
"Your current session is terminated by another user of this account.","현재 세션은 이 계정의 다른 사용자에 의해 종료 됩니다."
"Your current session has been expired.","현재 세션이 만료 되었습니다."
"Too many password reset requests. Please wait and try again or contact %1.","비밀번호 재설정 요청 횟수가 초과되었습니다. 잠시 기다리신 후에 다시 시도하여 주시거나 %1로 문의하여 주세요."
"The link to a friend was sent.","친구에게 링크를 보냈습니다."
"Some emails were not sent.","일부 메일이 전송 되지 않았습니다."
"Please enter a sender name.","보내는 사람의 이름을 입력 하십시오."
"Invalid Sender Email","보내는 사람의 이메일 주소가 잘못되었습니다."
"Please enter a message.","메시지를 입력하세요."
"Please enter a correct recipient email address.","받는 사람의 이메일주소를 바르게 입력해주세요."
"Welcome, %name","%name님, 환영합니다!"
"The value that you entered is not valid.","입력한 값이 유효 하지 않습니다."
"Send Tracking Information","추적 정보 보내기"
"Divide to equal weight (one request)","동등한 중량으로 나누기 (1회 요청)"
"Qty to Ship","배송 수량"
"Invalid value(s) for Qty to Ship","배송 수량에 대한 잘못된 값"
"Items Shipped","배송된 항목"
"Print All Shipments","모든 배송 인쇄"
"contact us","사용 문의"
" for more information or "," 추가 정보, 또는 "
"email us at ","로 이메일을 주세요. "
"See our Shipping Policy","배송정책 보기"
"Shipping Policy","배송 정책"
"Service Type:","서비스 타입:"
Weight:,중량:
"Save & Generate","저장하고 생성하기"
"Edit Sitemap","사이트맵 수정"
"New Sitemap","신규 사이트맵"
"Sitemap Information","사이트맵 정보"
Sitemap,사이트맵
Filename,파일명
"example: sitemap.xml","예: sitemap.xml"
"example: ""/sitemap/"" or ""/"" for base path (path must be writeable)","예: ""/sitemap/"" 이나 ""/"" 같은 기본 경로(경로는 반드시 쓰기 가능이여야 합니다)"
"Add Sitemap","사이트맵 추가"
"You deleted the sitemap.","사이트맵을 삭제했습니다."
"This sitemap no longer exists.","사이트맵이 더이상 존재하지 않습니다."
"Site Map",사이트맵
"New Site Map","신규 사이트맵"
"The sitemap ""%1"" has been generated.","사이트맵 ""%1""이 생성되었습니다."
"You saved the sitemap.","사이트맵을 생성했습니다."
"The priority must be between 0 and 1.","우선순위는 반드시 0과 1사이의 숫자이여야 합니다."
"Please define a correct path.","올바른 경로를 지정해 주십시오."
"Please create the specified folder ""%1"" before saving the sitemap.","사이트맵을 저장하기 전에 폴더 ""%1""을 만들어 주십시오."
"Please make sure that ""%1"" is writable by the web-server.","""%1""이(가) 쓰기 가능한지 웹서버에서 확인해 주십시오."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed.","파일명에는 영문 대소문자, 숫자, 언더바(_)만 사용할 수 있습니다. 공백이나 다른 문자는 사용할 수 없습니다."
"Sitemap generate Warnings","사이트맵 생성 경고"
"Sitemap Generation Warnings","사이트맵 생성 경고"
"Categories Options","카테고리 옵션"
"Products Options","상품 옵션"
"Add Images into Sitemap","사이트맵에 이미지 추가"
"CMS Pages Options","CMS 페이지 옵션"
"Sitemap File Limits","사이트맵 파일 제한"
"Maximum No of URLs Per File","파일당 최대 URL 수"
"Maximum File Size","최대 파일 사이즈"
"Date & Time","날짜와 시간"
"Go to Top","맨 위로 이동"
"System Report Information","시스템 보고서 정보"
"Please select item(s).","선택 하세요."
"Processing ...","처리 중…"
"Adminhtml Themes List","관리자 페이지 테마 리스트"
"Frontend Themes List","프론트엔트 테마 리스트"
"Related Products Rule","관련상품 규칙"
"Products to Display","표시할 상품"
"Product Rule Information","상품 규칙 정보"
"Undefined Catalog Product List Type","정의되지 않은 카탈로그 상품 리스트 유형"
"New Related Products Rule","신규 관련상품 규칙"
"Related Products Rules","관련상품 규칙"
"Please specify a correct rule.","올바른 규칙을 지정해 주십시오."
"Invalid product list type","잘못된 상품 리스트 타입"
"Product %1%2%3%4%5%6%7","상품 %1%2%3%4%5%6%7"
"Matched Product %1","일치 상품 %1"
"Target Product ","대상 상품 "
"Price (percentage)","가격 (비율)"
more,더보기
"Maximum Number of Products in Related Products List","관련 상품 목록에서 상품 최대 수"
"Show Related Products","관련 상품 보기"
"Maximum Number of Products in Cross-Sell Product List","교차 판매 상품 목록에서 상품 최대 수"
"Show Cross-Sell Products","교차판매 상품 보기"
"Maximum Number of Products in Upsell Product List","상향 판매 상품 목록에서 상품 최대 수"
"Show Upsell Products","상향 판매 상품 보기"
"Zip/Post Code",우편번호
"Save Rule","규칙 저장"
"Customer Tax Class","고객 세금 유형"
"Product Tax Class","제품 세금 유형"
"Do you really want to delete this tax class?","정말 이 세금 유형을9 삭제하시겠습니까?"
"Add New Tax Class","신규 세금 유형"
"Subtotal (Excl.Tax)","소계 (부가세 제외)"
"Subtotal (Incl.Tax)","소계 (부가세 포함)"
"Shipping & Handling (Excl.Tax)","배송료 (부가세 제외)"
"Shipping & Handling (Incl.Tax)","배송료 (부가세 포함)"
"The tax rule has been deleted.","세금 규칙이 삭제되었습니다."
"Invalid name of tax class specified.","잘못된 세금 유형 이름입니다."
"Shipping (Excl. Tax)","배송료 (부가세 제외)"
"Shipping (Incl. Tax)","배송료 (부가세 포함)"
"Click on the link to <a href=""%1"">ignore this notification</a>","Click on the link to <a href=""%1"">
 ignore this notification</a>
 "
"Please see <a href=""%1"">documentation</a> for more details. ","Please see <a href=""%1"">
 documentation</a>
 for more details. "
"Click here to go to <a href=""%1"">Tax Configuration</a> and change your settings.","Click here to go to <a href=""%1"">
 Tax Configuration</a>
 and change your settings."
"Invalid type of tax class ""%1""","잘못된 세금 유형 타입 ""%1"""
product,상품
"Tax Classes","세금 유형"
"Tax Class for Shipping","배송에 대한 세금 유형"
"Default Tax Class for Product","상품 기본 세금 유형"
"Default Tax Class for Customer","고객 기본 세금 유형"
"Default Post Code","기본 우편번호"
"Price Display Settings","가격 표시 설정"
"Display Product Prices In Catalog","카탈로그의 제품 가격 표시"
"Display Shipping Prices","배송비 표시"
"Shopping Cart Display Settings","장바구니 표시 설정"
"Display Prices","가격 표시"
"Display Shipping Amount","배송비 표시"
"Include Tax In Order Total","주문 합계에 세금 포함"
"Order Total Excl. Tax","주문 합계에 세금 제외"
"Order Total Incl. Tax","주문 합계 (부가세 포함)"
"Warning tax discount configuration might result in different discounts
                                than a customer might expect. ","Warning tax discount configuration might result in different discounts than a customer might expect. "
"Invalid file format.","잘못된 파일 형식입니다."
Themes,테마
welcome,환영합니다
Page,페이지
Menu,메뉴
Account,계정
"Search Engine Robots","검색 엔진 로봇"
"Remove %1","%1 삭제"
On,켬
Off,끔
"Please enter more or equal than {0} symbols.","{0}자 이상의 글자를 입력해 주십시오."
"Please enter less or equal than {0} symbols.","{0}자 이하의 글자를 입력해 주십시오."
"Please enter {0} words or less.","{0} 이하의 단어를 입력해 주시기 바랍니다."
"Please enter at least {0} words.","최소 {0}개의 단어를 입력해 주시기 바랍니다."
"Please enter between {0} and {1} words.","{0}에서 {1} 사이의 단어를 입력해 주십시오."
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","우편번호는 902xx-xxxx에서 905-xx-xxxx 사이에 있어야 합니다."
"A positive or negative non-decimal number please","양수 또는 음수의 10 진수가 아닌 숫자를 입력하십시오."
"The specified vehicle identification number (VIN) is invalid.","지정된 차량 식별 번호(VIN)가 유효하지 않습니다."
"Please enter a valid time, between 00:00 and 23:59","00:00에서 23:59 사이의 올바른 시간을 입력해 주십시오."
"Please enter a valid time, between 00:00 am and 12:00 pm","오전 00:00에서 오후 12:00 사이의 올바른 시간을 입력해 주십시오."
"Please specify a valid mobile number","올바른 휴대전화번호를 지정해 주십시오"
"Please enter at least {0} characters","최소 {0}자를 입력해 주십시오."
"Please enter a valid IP v4 address.","올바른 IP v4 주소를 입력해 주십시오."
"Please enter a valid IP v6 address.","올바른 IP v6 주소를 입력해 주십시오."
"Invalid format.","잘못된 형식입니다."
"HTML tags are not allowed.","HTML 태그는 허용 되지 않습니다."
"Please select an option.","옵션을 선택해주세요."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","이 필드에는 영문 대소문자, 숫자, 공백만 입력해야 합니다."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","이 필드에는 영문 대소문자, 숫자, 그리고 언더바(_)만 사용할 수 있으며 첫번째 글자는 반드시 영문자이여야 합니다."
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","이 필드에는 영문 대소문자, 숫자, 공백, 그리고 ""#""만 입력해야 합니다."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","올바른 전화번호를 입력해 주십시오. 예: (123) 456-789, 123-456-7890"
"Please enter a valid fax number (Ex: 123-456-7890).","올바른 팩스 번호를 입력 하십시오. 예: 123-456-7890"
"Please enter a valid email address (Ex: johndoe@domain.com).","올바른 이메일 주소를 입력 하십시오. 예: johndoe@domain.com"
"Please enter 6 or more characters. Leading and trailing spaces will be ignored.","6개 이상의 문자를 입력 하십시오. 앞뒤의 공백은 무시됩니다."
"Please enter 7 or more characters, using both numeric and alphabetic.","7자 이상의이상의 숫자및 영문자를 입력해 주십시오."
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://).","올바른 URL을 입력해 주십시오. 프로토콜은 필수입니다 (http://, https:// 또는 ftp://)."
"Please enter a valid URL. For example http://www.example.com or www.example.com.","올바른 URL을 입력 하십시오. 예: http://www.example.com, www.example.com"
"Please enter a valid XML-identifier (Ex: something_1, block5, id-4).","올바른 XML 식별자를 입력해 주십시오. 예: something_1, block5, id-4"
"Please enter a valid social security number (Ex: 123-45-6789).","올바른 주민등록번호를 입력해 주십시오. 예: 123456-7890123"
"Please enter a valid zip code (Ex: 90602 or 90602-1234).","올바른 우편번호를 입력해 주십시오. 예: 90602 또는 602-123"
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","이 날짜 형식을 이용해 주시기 바랍니다: 일/월/년. 예를 들어 2006년 3월 17일은 17/03/2006 입니다."
"Please enter a valid $ amount. For example $100.00.","올바른 $ 금액을 입력해 주십시오. 예: $ 100.00"
"Please enter a number greater than 0 in this field.","0보다 큰 숫자를 입력해 주십시오."
"Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%).","올바른 CSS 수치를 입력해 주십시오. 예:100px, 77pt, 20em, .5ex, 50%"
"The value is not within the specified range.","지정된 범위에 해당하지 않습니다."
"Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","이 필드에는 영문 소문자, 숫자, 그리고 언더바(_)만 사용할 수 있으며 첫번째 글자는 반드시 영문 소문자이여야 합니다."
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.","이 필드에는 영문 대소문자와 숫자만 입력해 주십시오. 공백을 비롯한 다른 문자는 허용되지 않습니다."
"Please enter a valid date.","올바른 날짜를 입력해 주십시오."
"Please enter a valid zip code.","올바른 우편번호를 입력해 주십시오."
"Please select State/Province.","시/도 선택 하십시오."
"Please enter a value less than or equal to {0}.","{0} 이하의 값을 입력해 주십시오."
"Please enter a value greater than or equal to {0}.","{0} 이상의 값을 입력해 주십시오."
"Please enter positive number in this field.","이 필드에는 양수를 입력해 주십시오."
"Please enter a valid value, ex: 10,20,30","올바른 값을 입력해 주십시오. 예: 10,20,30"
"File you are trying to upload exceeds maximum file size limit.","업로드 가능한 최대 파일 크기를 초과했습니다."
"The date is not within the specified range.","날짜가 지정된 범위 내에 없습니다."
Attention,주의
"Please enter a value less than or equal to %s.","%s 이하의 값을 입력해 주십시오."
"Please enter a value greater than or equal to %s.","%s 이상의 값을 입력해 주십시오."
Container,컨테이너
"Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)","최소 포장 중량 (지원되는 최소 운송 중량은 운송 업체에 문의하십시오)"
Category:,카테고리:
Product:,상품:
"Account Status","계정 상태"
"We'll email you a link to reset your password.","비밀번호를 재설정할 수 있는 링크를 이메일로 보내드립니다."
